Netherlands	52.2434979	5.6343227
Sri Lanka	7.5554942	80.7137847
France	46.603354	1.8883335
NO DATA	14.70691	120.991047
Australia	-24.7761086	134.755
China	35.000074	104.999927
India	22.3511148	78.6677428
Tunisia	33.8439408	9.400138
Germany	51.1638175	10.4478313
USA	39.7837304	-100.445882
New Zealand	-41.5000831	172.8344077
Mexico	23.6585116	-102.0077097
Indonesia	-2.4833826	117.8902853
Spain	39.3260685	-4.8379791
Portugal	40.0332629	-7.8896263
Unknown	12.9972815	-3.4253557
Morocco	31.1728205	-7.3362482
UK	51.5073219	-0.1276474
